epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1728.79,0.65389,0.58833,0.5567,0.92294,0.99249,1,0.995,0.90297,0.99249,1,0.995,0.89173,0.4661,0.34155,0.45026,0.82018,0.000594321,0.000594321,0.000594321
61,1757.75,0.63919,0.61345,0.56736,0.92605,0.99257,1,0.995,0.90981,0.99257,1,0.995,0.90284,0.46629,0.33381,0.42953,0.83058,0.000580174,0.000580174,0.000580174
62,1787.28,0.62797,0.62228,0.55393,0.925,0.99345,1,0.995,0.90724,0.99345,1,0.995,0.91124,0.45576,0.3302,0.41875,0.8286,0.000566027,0.000566027,0.000566027
63,1816.37,0.65789,0.60605,0.57929,0.91826,0.9901,1,0.995,0.88367,0.9901,1,0.995,0.89565,0.47099,0.3299,0.42977,0.81432,0.00055188,0.00055188,0.00055188
64,1845.65,0.63815,0.65031,0.55294,0.90425,0.99169,1,0.995,0.87886,0.99169,1,0.995,0.89191,0.47198,0.32649,0.41059,0.81497,0.000537733,0.000537733,0.000537733
65,1875,0.63919,0.56922,0.55543,0.92282,0.99127,1,0.995,0.90568,0.99127,1,0.995,0.89188,0.42399,0.32233,0.38995,0.81468,0.000523586,0.000523586,0.000523586
66,1903.98,0.61,0.60819,0.53915,0.90333,0.98847,1,0.995,0.88433,0.98847,1,0.995,0.88824,0.46546,0.32598,0.41872,0.80801,0.000509438,0.000509438,0.000509438
67,1932.84,0.61999,0.59147,0.54984,0.92236,0.98709,1,0.995,0.89372,0.98709,1,0.995,0.88709,0.44853,0.33166,0.42822,0.80754,0.000495291,0.000495291,0.000495291
68,1961.92,0.66278,0.58831,0.5658,0.93244,0.98878,1,0.995,0.90825,0.98878,1,0.995,0.88367,0.43044,0.33581,0.41357,0.80812,0.000481144,0.000481144,0.000481144
69,1990.82,0.60709,0.60048,0.54698,0.91234,0.9893,1,0.995,0.92406,0.9893,1,0.995,0.88361,0.41932,0.34255,0.41096,0.80778,0.000466997,0.000466997,0.000466997
70,2019.88,0.64674,0.63275,0.54914,0.95276,0.98764,1,0.995,0.90668,0.98764,1,0.995,0.88936,0.39215,0.34742,0.40087,0.80319,0.00045285,0.00045285,0.00045285
71,2049.14,0.61688,0.59212,0.53825,0.90806,0.98728,1,0.995,0.89333,0.98728,1,0.995,0.88971,0.46333,0.34197,0.40032,0.82139,0.000438703,0.000438703,0.000438703
72,2078.43,0.66303,0.65406,0.55716,0.93171,0.98759,1,0.995,0.88891,0.98759,1,0.995,0.87157,0.45168,0.3481,0.38939,0.82944,0.000424556,0.000424556,0.000424556
73,2107.69,0.61265,0.55513,0.5283,0.91357,0.98686,1,0.995,0.89104,0.98686,1,0.995,0.86579,0.48355,0.34527,0.39693,0.84843,0.000410409,0.000410409,0.000410409
74,2136.83,0.73677,0.57356,0.70069,0.98324,0.98794,1,0.995,0.90023,0.98794,1,0.995,0.87719,0.42071,0.33673,0.37662,0.8215,0.000396262,0.000396262,0.000396262
75,2165.68,0.60959,0.60317,0.5268,0.91998,0.98854,1,0.995,0.89316,0.98854,1,0.995,0.90061,0.45325,0.33068,0.38019,0.80878,0.000382115,0.000382115,0.000382115
76,2195.06,0.60521,0.60555,0.52809,0.92044,0.98821,1,0.995,0.89521,0.98821,1,0.995,0.91235,0.44244,0.31587,0.38704,0.80726,0.000367967,0.000367967,0.000367967
77,2223.32,0.57039,0.59981,0.51337,0.91236,0.98856,1,0.995,0.89279,0.98856,1,0.995,0.89969,0.43875,0.31459,0.39518,0.80306,0.00035382,0.00035382,0.00035382
78,2251.61,0.60664,0.60461,0.52658,0.90389,0.98931,1,0.995,0.90403,0.98931,1,0.995,0.89246,0.43574,0.31737,0.39072,0.80755,0.000339673,0.000339673,0.000339673
79,2279.94,0.62031,0.62711,0.53573,0.92717,0.98807,1,0.995,0.90498,0.98807,1,0.995,0.88725,0.45874,0.33256,0.39686,0.80775,0.000325526,0.000325526,0.000325526
80,2308.45,0.60728,0.58333,0.52387,0.91621,0.98759,1,0.995,0.90084,0.98759,1,0.995,0.8858,0.43194,0.32528,0.38542,0.80594,0.000311379,0.000311379,0.000311379
81,2337.71,0.59437,0.58212,0.49398,0.91803,0.98894,1,0.995,0.90907,0.98894,1,0.995,0.86799,0.39213,0.34414,0.3595,0.80052,0.000297232,0.000297232,0.000297232
82,2366.88,0.57856,0.65523,0.49562,0.9178,0.98934,1,0.995,0.91149,0.98934,1,0.995,0.86289,0.40986,0.35443,0.35968,0.80495,0.000283085,0.000283085,0.000283085
83,2395.4,0.59136,0.55076,0.51265,0.91525,0.98961,1,0.995,0.87875,0.98961,1,0.995,0.86935,0.43567,0.34588,0.36131,0.80895,0.000268938,0.000268938,0.000268938
84,2424.42,0.58172,0.56178,0.50549,0.9289,0.98921,1,0.995,0.89735,0.98921,1,0.995,0.88103,0.40114,0.33363,0.3604,0.8038,0.000254791,0.000254791,0.000254791
85,2453.73,0.59503,0.55495,0.52622,0.92075,0.98925,1,0.995,0.90441,0.98925,1,0.995,0.87772,0.40963,0.32906,0.3632,0.80261,0.000240644,0.000240644,0.000240644
86,2483.01,0.62198,0.55664,0.52401,0.92357,0.98848,1,0.995,0.89254,0.98848,1,0.995,0.8809,0.4341,0.32707,0.36546,0.8033,0.000226497,0.000226497,0.000226497
87,2512.09,0.56,0.5492,0.4855,0.89968,0.98794,1,0.995,0.90681,0.98794,1,0.995,0.90101,0.39919,0.32583,0.36265,0.80121,0.000212349,0.000212349,0.000212349
